2024-01-15 12:31:54,851 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '马伊琍哭了，胡歌失控！90岁游本昌笑着说出的话，狠打了资本的脸', 'article_url': 'https://toutiao.com/group/7323236953993052691/', 'read_count': 715182, 'publish_time': '2024-01-13T00:17:48', 'like_count': 4222, 'comment_count': 1330, 'behot_time': '2024-01-15T10:21:32', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:31:56,338 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '霍尊正式复出？官宣沈阳春节戏曲晚会献唱《卷珠帘》', 'article_url': 'https://toutiao.com/group/7323390753873691171/', 'read_count': 51634, 'publish_time': '2024-01-13T09:36:53', 'like_count': 255, 'comment_count': 679, 'behot_time': '2024-01-15T10:11:32', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:31:57,862 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '刘楚恬：2岁出道年入百万，因长相甜美被禁止整容，如今长成啥样', 'article_url': 'https://toutiao.com/group/7297532077413728768/', 'read_count': 63865, 'publish_time': '2023-11-04T17:46:47', 'like_count': 489, 'comment_count': 38, 'behot_time': '2024-01-15T10:01:32', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:11,249 - E:\ai\doc_search\app\spiderTest2.py[line:102] - DEBUG: 开始执行爬虫任务,当前文章数量为300
2024-01-15 12:32:21,964 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '她是小婉君,嫁豪门生5子后丈夫爱上王祖贤,婆婆霸气给出4亿离婚费', 'article_url': 'https://toutiao.com/group/7322705510510150170/', 'read_count': 221664, 'publish_time': '2024-01-11T14:26:35', 'like_count': 7165, 'comment_count': 61, 'behot_time': '2024-01-15T12:32:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:24,059 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '微博之夜：秦岚丰满有料，赵露思太暴露，周冬雨肋骨条都勒出来了', 'article_url': 'https://toutiao.com/group/7323549557785215529/', 'read_count': 174670, 'publish_time': '2024-01-13T20:14:07', 'like_count': 608, 'comment_count': 66, 'behot_time': '2024-01-15T12:22:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:25,584 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '当37岁刘诗诗和41岁唐嫣坐在一起，才彻底明白皮相美与骨相美区别', 'article_url': 'https://toutiao.com/group/7323863316617871883/', 'read_count': 45577, 'publish_time': '2024-01-14T18:13:08', 'like_count': 165, 'comment_count': 124, 'behot_time': '2024-01-15T12:12:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:27,083 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '看了41岁孙俪现状，才明白《繁花》为何缺了孙俪，早已心照不宣', 'article_url': 'https://toutiao.com/group/7322349425869898266/', 'read_count': 222277, 'publish_time': '2024-01-10T14:25:31', 'like_count': 1616, 'comment_count': 400, 'behot_time': '2024-01-15T12:02:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:28,617 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '当32岁肖战跟41岁胡歌站一起，我才彻底明白，什么叫顶级骨相', 'article_url': 'https://toutiao.com/group/7323460251980841483/', 'read_count': 197015, 'publish_time': '2024-01-13T14:23:40', 'like_count': 774, 'comment_count': 449, 'behot_time': '2024-01-15T11:52:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:30,062 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '这一夜，娜扎用珠圆玉润的身材，狠狠打脸了白幼瘦女星！', 'article_url': 'https://toutiao.com/group/7323978439806583331/', 'read_count': 22082, 'publish_time': '2024-01-14T23:52:48', 'like_count': 115, 'comment_count': 102, 'behot_time': '2024-01-15T11:42:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:31,529 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '当36岁赵丽颖和36岁高叶在一起，我才彻底明白什么叫气质和骨相', 'article_url': 'https://toutiao.com/group/7323131447190602281/', 'read_count': 213726, 'publish_time': '2024-01-12T16:58:15', 'like_count': 814, 'comment_count': 337, 'behot_time': '2024-01-15T11:32:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:33,044 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '利智62岁幸福难掩，被李连杰抛弃的前妻黄秋燕，如今过得怎样了', 'article_url': 'https://toutiao.com/group/7307169548489261619/', 'read_count': 11283, 'publish_time': '2023-11-30T16:34:58', 'like_count': 338, 'comment_count': 18, 'behot_time': '2024-01-15T11:22:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:34,539 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '“爬行妈妈”董明英: 24岁嫁46岁光棍，不听劝3年生俩，现状如何', 'article_url': 'https://toutiao.com/group/7315332248318935587/', 'read_count': 54556, 'publish_time': '2023-12-22T17:16:30', 'like_count': 674, 'comment_count': 36, 'behot_time': '2024-01-15T11:12:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:36,040 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '60岁韦唯现状：住纽约豪宅，家暴前夫已离世，3个儿子成最大心结', 'article_url': 'https://toutiao.com/group/7293780296267530788/', 'read_count': 447651, 'publish_time': '2023-10-25T15:01:17', 'like_count': 8904, 'comment_count': 170, 'behot_time': '2024-01-15T11:02:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:37,519 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '昆凌发文控诉周杰伦出轨，称再也不想过了，本人回应了！', 'article_url': 'https://toutiao.com/group/7322393179306132004/', 'read_count': 5076, 'publish_time': '2024-01-10T17:05:25', 'like_count': 21, 'comment_count': 2, 'behot_time': '2024-01-15T10:52:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:39,006 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '被大49岁的谢贤养了12年，拿2000万分手费走人，如今她怎么样了', 'article_url': 'https://toutiao.com/group/7321979674925072907/', 'read_count': 39729, 'publish_time': '2024-01-09T14:21:20', 'like_count': 505, 'comment_count': 37, 'behot_time': '2024-01-15T10:42:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:40,480 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '马伊琍哭了，胡歌失控！90岁游本昌笑着说出的话，狠打了资本的脸', 'article_url': 'https://toutiao.com/group/7323236953993052691/', 'read_count': 715182, 'publish_time': '2024-01-13T00:17:48', 'like_count': 4223, 'comment_count': 1330, 'behot_time': '2024-01-15T10:32:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:41,937 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '霍尊正式复出？官宣沈阳春节戏曲晚会献唱《卷珠帘》', 'article_url': 'https://toutiao.com/group/7323390753873691171/', 'read_count': 51634, 'publish_time': '2024-01-13T09:36:53', 'like_count': 255, 'comment_count': 679, 'behot_time': '2024-01-15T10:22:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:43,400 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '刘楚恬：2岁出道年入百万，因长相甜美被禁止整容，如今长成啥样', 'article_url': 'https://toutiao.com/group/7297532077413728768/', 'read_count': 63866, 'publish_time': '2023-11-04T17:46:47', 'like_count': 489, 'comment_count': 38, 'behot_time': '2024-01-15T10:12:20', 'source': 'toutiao', 'domain': '测试'}
2024-01-15 12:32:45,389 - E:\ai\doc_search\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '在澳门输钱最多的人，把一块地皮输给何鸿燊，如今地皮价值1千亿', 'article_url': 'https://toutiao.com/group/7294879144641577481/', 'read_count': 133831, 'publish_time': '2023-10-28T13:38:53', 'like_count': 741, 'comment_count': 87, 'behot_time': '2024-01-15T10:02:20', 'source': 'toutiao', 'domain': '测试'}
